SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,HAS_GARAGE,DINNING_DESC,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,NUM_STORIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,url,LAUNDARY_FEATURES,FLOORING_FEATURES,BATH_DESCRIPTION,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE,PRICE_HISTORY11_EVENT_DATE,PRICE_HISTORY11_EVENT_TYPE,PRICE_HISTORY11_PRICE,PRICE_HISTORY12_EVENT_DATE,PRICE_HISTORY12_EVENT_TYPE,PRICE_HISTORY12_PRICE,PRICE_HISTORY13_EVENT_DATE,PRICE_HISTORY13_EVENT_TYPE,PRICE_HISTORY13_PRICE,PRICE_HISTORY14_EVENT_DATE,PRICE_HISTORY14_EVENT_TYPE,PRICE_HISTORY14_PRICE,PRICE_HISTORY15_EVENT_DATE,PRICE_HISTORY15_PRICE,PRICE_HISTORY16_EVENT_DATE,PRICE_HISTORY16_PRICE,PRICE_HISTORY15_EVENT_TYPE,PRICE_HISTORY16_EVENT_TYPE,PRICE_HISTORY17_EVENT_DATE,PRICE_HISTORY17_PRICE
MLS Listing,,Single Family Residential,22283 Hathaway Ave,Hayward,CA,94541,675000,3.0,2.0,HAYWARD,903.0,2324.0,1920.0,39.0,748.0,,Active,,,https://www.redfin.com/CA/Hayward/22283-Hathaway-Ave-94541/home/1916027,MLSListings,ML81939332,N,Y,37.6669827,-122.1042258,No Garage,,Formal Dining Room,Central Forced Air,Other (See Remarks),Public Utilities,1.0,3.0,4.0,3.0,2.5,748.0,676128.0,4773.0,67.0,Bikeable,70.0,Very walkable,46.0,Some transit,Minimal,Minimal,Moderate,Minimal,"Places6 groceries, 19 restaurants, 7 parksTransit10, 28, 34, 41, 56, 60, 801, 83, 86, 93, 94, 95, 97, 99, CC, Green-N, Green-S, M, Orange-N, Orange-S, S","Aug 21, 2023",Listed (Active)MLSListings #ML81939332,675000.0,"Mar 3, 2022","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40979235",,"Feb 18, 2022","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40979235",549000.0,https://www.redfin.com/CA/Hayward/22283-Hathaway-Ave-94541/home/1916027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,28846 Bailey Ranch Rd,Hayward,CA,94542,2199888,6.0,4.0,BAILEY RANCH,3705.0,15100.0,2000.0,39.0,594.0,164.0,Active,September-30-2023 01:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/Hayward/28846-Bailey-Ranch-Rd-94542/home/1242250,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41034723,N,Y,37.6508892,-122.0191686,,3.0,,"Ceiling Fan(s), Zoned","Zoned, Natural Gas, Solar",,,6.0,2.0,,2.5,594.0,2157482.0,15719.0,20.0,Somewhat bikeable,6.0,Car-dependent,18.0,Minimal transit,Minimal,Major,Minor,Minimal,"Places7 groceries, 26 restaurants, 10 parksTransit41, 60, 801, 83, 86, 94, 95, 99, Green-N, Green-S, Orange-N, Orange-S","Sep 6, 2023","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #41034723",2199888.0,"Aug 21, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41034723",2299888.0,"Mar 26, 2015","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40686343",,https://www.redfin.com/CA/Hayward/28846-Bailey-Ranch-Rd-94542/home/1242250,,"Hardwood, Tile, Carpet",,,,,"Feb 27, 2015","Pending (Pending - Show for Backups)bridgeMLS, Bay East AOR, or Contra Costa AOR #40686343",,"Feb 5, 2015","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40686343",1049000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Vacant Land,2812 Kelly St,Hayward,CA,94541,645000,,,HAYWARD,,9735.0,,39.0,,,Active,,,https://www.redfin.com/CA/Hayward/2812-Kelly-St-94541/home/2032556,MLSListings,ML81939286,N,Y,37.6845884,-122.0556467,,,,,,Other (See Remarks),,4.0,2.0,,2.5,,623645.0,4561.0,26.0,Somewhat bikeable,47.0,Car-dependent,,,Minimal,Moderate,Moderate,Minimal,"Places9 groceries, 17 restaurants, 6 parksTransit28, 60, 93, 94, 95, Blue-N, Blue-S, NX4, NXC","Sep 21, 2023",Price ChangedMLSListings #ML81939286,645000.0,"Aug 21, 2023",Listed (Active)MLSListings #ML81939286,695000.0,"Jul 19, 2018","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40829719",,https://www.redfin.com/CA/Hayward/2812-Kelly-St-94541/home/2032556,,,,,,,"Jul 11, 2018","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40829719",409000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,26897 Huntwood Ave #4,Hayward,CA,94544,500000,2.0,1.5,HAYWARD,1104.0,27604.0,1980.0,43.0,453.0,521.0,Active,,,https://www.redfin.com/CA/Hayward/26897-Huntwood-Ave-94544/unit-4/home/1072845,MLSListings,ML81937908,N,Y,37.6407117,-122.0715604,"Assigned Spaces, Detached",1.0,Dining Area,Ceiling Fan,Forced Air,Public Utilities,2.0,3.0,5.0,2.0,2.5,453.0,503245.0,4056.0,56.0,Bikeable,41.0,Car-dependent,39.0,Some transit,Minimal,Moderate,Moderate,Minimal,"Places11 groceries, 28 restaurants, 4 parksTransit41, 56, 801, 83, 86, 99, Green-N, Green-S, Orange-N, Orange-S","Sep 13, 2023",Relisted (Active)MLSListings #ML81937908,,"Sep 6, 2023",Pending (Pending (Do Not Show))MLSListings #ML81937908,,"Aug 10, 2023",Listed (Active)MLSListings #ML81937908,500000.0,https://www.redfin.com/CA/Hayward/26897-Huntwood-Ave-94544/unit-4/home/1072845,Washer/Dryer,"Hardwood, Tile, Other (See Remarks)",,"Garbage, Insurance, Insurance (Common Area), Maintenance (Common Area), Maintenance (Exterior), Roof, Water",Monthly,Willow Estates,"Feb 9, 2022","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40970373",,"Dec 17, 2021","ContingentbridgeMLS, Bay East AOR, or Contra Costa AOR #40970373",,"Oct 29, 2021","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40970373",499000.0,"Oct 9, 2021","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40970373",725000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,19425 Waverly Ave,Hayward,CA,94541,850000,3.0,2.0,HAYWARD,1620.0,5000.0,1951.0,45.0,525.0,,Active,,,https://www.redfin.com/CA/Hayward/19425-Waverly-Ave-94541/home/2022924,MLSListings,ML81937099,N,Y,37.6765225,-122.1138646,Attached Garage,2.0,Other (See Remarks),,Central Forced Air,Public Utilities,1.0,4.0,4.0,3.0,2.5,525.0,855637.0,6010.0,56.0,Bikeable,63.0,Somewhat walkable,36.0,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 33 restaurants, 7 parksTransit10, 28, 34, 35, 56, 801, 83, 93, 97, CC, NX4, NXC, S","Aug 15, 2023",Listed (Active)MLSListings #ML81937099,850000.0,"Mar 20, 2018","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40812692",,"Mar 6, 2018","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40812692",675000.0,https://www.redfin.com/CA/Hayward/19425-Waverly-Ave-94541/home/2022924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,332 Michell Ct,Livermore,CA,94551,1250000,3.0,2.0,NORTH LIVERMORE,1350.0,6718.0,1956.0,4.0,926.0,,Active,,,https://www.redfin.com/CA/Livermore/332-Michell-Ct-94551/home/638229,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040395,N,Y,37.6900335,-121.7596776,,2.0,,Central Air,Forced Air,All Public Utilities,,,,7.0,2.5,926.0,1255609.0,8838.0,59.0,Bikeable,44.0,Car-dependent,,,Minimal,Severe,Major,Minimal,"Places1 grocery, 25 restaurants, 1 parkTransit10R, 11, 14, 15, 20X, 30R, 580X, ACE, ACETrain, Route 6","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040395",1250000.0,"Aug 4, 2021","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40959708",,"Jul 21, 2021","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40959708",899000.0,https://www.redfin.com/CA/Livermore/332-Michell-Ct-94551/home/638229,,"Hardwood, Tile, Carpet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,1013 Arrowhead Ave,Livermore,CA,94551,699000,2.0,1.5,Not Listed,972.0,4866.0,1985.0,1.0,719.0,,Active,,,https://www.redfin.com/CA/Livermore/1013-Arrowhead-Ave-94551/home/1424338,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040689,N,Y,37.7116514,-121.7301373,,2.0,,Central Air,Central,,,7.0,6.0,7.0,3.0,719.0,719943.0,4942.0,66.0,Bikeable,51.0,Somewhat walkable,,,Minimal,Severe,Major,Minimal,"Places4 groceries, 28 restaurants, 5 parksTransit11, 14, 15, 20X, 30R, ACE, ACETrain","Sep 30, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040689",699000.0,,,,,,,https://www.redfin.com/CA/Livermore/1013-Arrowhead-Ave-94551/home/1424338,,"Laminate, Tile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1117 Olivina Ave,Livermore,CA,94551,769999,3.0,1.0,,982.0,5000.0,1952.0,2.0,784.0,,Active,October-1-2023 12:00 PM,October-1-2023 03:00 PM,https://www.redfin.com/CA/Livermore/1117-Olivina-Ave-94551/home/580027,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040663,N,Y,37.6827628,-121.7825483,,2.0,,Central Air,Natural Gas,Other Water/Sewer,,4.0,,7.0,2.5,784.0,792686.0,5444.0,80.0,Very bikeable,86.0,Very walkable,,,Minimal,Moderate,Major,Minimal,"Places7 groceries, 29 restaurants, 2 parksTransit10R, 11, 14, 15, 20X, 30R, 580X, 601, 611, ACE, ACETrain, Route 6","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040663",769999.0,"Feb 21, 2013","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40603998",,"Feb 18, 2013","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40603998",279900.0,https://www.redfin.com/CA/Livermore/1117-Olivina-Ave-94551/home/580027,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,201 Flagstone Cmn,Livermore,CA,94550,1095000,3.0,3.0,CARLTON SQUARE,1933.0,2753.0,2004.0,2.0,566.0,170.0,Active,October-1-2023 02:00 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Livermore/201-Flagstone-Cmn-94550/home/1647531,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038345,N,Y,37.676161,-121.800824,,3.0,,Zoned,Central,,,8.0,7.0,7.0,2.5,566.0,1125285.0,7912.0,59.0,Bikeable,15.0,Car-dependent,,,Major,Minor,Moderate,Minimal,"Places6 groceries, 25 restaurants, 9 parksTransit10R, 11, 14, 15, 20X, 30R, 580X, 601, 606, 611, ACE, ACETrain, Route 6","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41038345",1095000.0,"May 15, 2006","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40164590",,"May 6, 2006","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #40164590",695000.0,https://www.redfin.com/CA/Livermore/201-Flagstone-Cmn-94550/home/1647531,,"Hardwood, Laminate, Carpet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1642 Hollyhock St,Livermore,CA,94551,700000,2.0,1.0,SPRINGTOWN,866.0,6377.0,1963.0,2.0,808.0,38.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Livermore/1642-Hollyhock-St-94551/home/1675669,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040540,N,Y,37.714052,-121.7423656,,2.0,,Central Air,Forced Air,,,7.0,6.0,7.0,2.5,808.0,701761.0,4987.0,60.0,Bikeable,28.0,Car-dependent,,,Minor,Extreme,Major,Minimal,"Places3 groceries, 26 restaurants, 5 parksTransit10R, 11, 14, 15, 20X, 30R, 580X, ACE, ACETrain, Route 6","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040540",700000.0,,,,,,,https://www.redfin.com/CA/Livermore/1642-Hollyhock-St-94551/home/1675669,,"Vinyl, Carpet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,137 Rincon Ave,Livermore,CA,94551,699000,4.0,2.0,NORTH LIVERMORE,1365.0,6395.0,1957.0,3.0,512.0,,Active,,,https://www.redfin.com/CA/Livermore/137-Rincon-Ave-94551/home/884520,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040519,N,Y,37.6810739,-121.7836978,,2.0,,,Forced Air,,,4.0,,7.0,1.43,512.0,720267.0,4942.0,84.0,Very bikeable,86.0,Very walkable,,,Minor,Moderate,Major,Minimal,"Places8 groceries, 28 restaurants, 2 parksTransit10R, 11, 14, 15, 20X, 30R, 580X, 601, 611, ACE, ACETrain, Route 6","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040519",699000.0,,,,,,,https://www.redfin.com/CA/Livermore/137-Rincon-Ave-94551/home/884520,,Carpet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,6060 Autumn Leaf Cmn,Livermore,CA,94551,975000,3.0,2.5,Not Listed,1272.0,2567.0,2004.0,3.0,767.0,145.0,Active,October-1-2023 11:00 AM,October-1-2023 02:00 PM,https://www.redfin.com/CA/Livermore/6060-Autumn-Leaf-Cmn-94551/home/1234505,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040488,N,Y,37.717479,-121.7230293,,2.0,,Central Air,Gravity,,,7.0,6.0,7.0,2.5,767.0,987328.0,7039.0,72.0,Very bikeable,71.0,Very walkable,,,Moderate,Extreme,Major,Minimal,"Places5 groceries, 27 restaurants, 5 parksTransit11, 14, 15, 20X, 30R, ACE, ACETrain","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040488",975000.0,"Mar 27, 2019","Pending (Pending - Show for Backups)bridgeMLS, Bay East AOR, or Contra Costa AOR #40853319",,"Mar 21, 2019","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40853319",676000.0,https://www.redfin.com/CA/Livermore/6060-Autumn-Leaf-Cmn-94551/home/1234505,,"Laminate, Carpet",,,,,"Mar 7, 2019","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40853319",698000.0,"Feb 21, 2019","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40853319",699000.0,"Feb 13, 2019","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40853319",727000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1122 Batavia Ave,Livermore,CA,94550,1399000,6.0,4.0,SUNSET EAST,3517.0,6200.0,1957.0,3.0,398.0,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Livermore/1122-Batavia-Ave-94550/home/1206659,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040438,N,Y,37.6693205,-121.7786154,,2.0,,Central Air,Forced Air,,,8.0,7.0,7.0,2.5,398.0,1428762.0,9892.0,65.0,Bikeable,47.0,Car-dependent,,,Minimal,Moderate,Major,Minimal,"Places7 groceries, 23 restaurants, 4 parksTransit10R, 11, 14, 15, 20X, 30R, 580X, 601, 611, ACE, ACETrain, Route 6","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040438",1399000.0,"Oct 15, 2002","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #11158376",,"Sep 22, 2002","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #11158376",519000.0,https://www.redfin.com/CA/Livermore/1122-Batavia-Ave-94550/home/1206659,,"Hardwood, Tile, Carpet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,621 Ridgecrest Cir,Livermore,CA,94551,1350000,3.0,2.0,LIVERMORE,1912.0,7280.0,1999.0,3.0,706.0,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Livermore/621-Ridgecrest-Cir-94551/home/580236,MLSListings,ML81943377,N,Y,37.6901654,-121.7555656,"Attached Garage, Off-Street Parking",2.0,Formal Dining Room,Central Forced Air,Central Forced Air,Public Utilities,1.0,,5.0,7.0,2.5,706.0,1363829.0,9545.0,63.0,Bikeable,50.0,Somewhat walkable,,,Minimal,Severe,Major,Minimal,"Places2 groceries, 26 restaurants, 1 parkTransit10R, 11, 14, 15, 20X, 30R, 580X, ACE, ACETrain, Route 6","Sep 28, 2023",Listed (Active)MLSListings #ML81943377,1350000.0,"Jul 19, 2008","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40353538",,"Jul 3, 2008","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #40353538",620000.0,https://www.redfin.com/CA/Livermore/621-Ridgecrest-Cir-94551/home/580236,"In Utility Room, Washer/Dryer","Hardwood, Laminate",Double Sinks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,660 Brighton Way,Livermore,CA,94551,1249950,4.0,3.0,SUMMERSET,2393.0,6200.0,1966.0,4.0,522.0,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Livermore/660-Brighton-Way-94551/home/1449342,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040325,N,Y,37.6897313,-121.7921782,,2.0,,Zoned,Zoned,,,7.0,,7.0,2.5,522.0,1264494.0,8838.0,65.0,Bikeable,57.0,Somewhat walkable,,,Minimal,Severe,Major,Minimal,"Places6 groceries, 24 restaurants, 6 parksTransit10R, 11, 14, 15, 20X, 30R, 580X, 601, 611, ACE, ACETrain, Route 6","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040325",1249950.0,,,,,,,https://www.redfin.com/CA/Livermore/660-Brighton-Way-94551/home/1449342,,"Laminate, Vinyl, Carpet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2042 Mars Rd,Livermore,CA,94550,1598000,3.0,2.0,THREE FOUNTAINS,2160.0,10424.0,1971.0,4.0,740.0,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Livermore/2042-Mars-Rd-94550/home/1314290,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040061,N,Y,37.658829,-121.7839858,,2.0,,Central Air,Forced Air,,,8.0,7.0,7.0,2.5,740.0,1677158.0,11299.0,71.0,Very bikeable,52.0,Somewhat walkable,,,Minimal,Moderate,Moderate,Minimal,"Places4 groceries, 25 restaurants, 14 parksTransit10R, 11, 14, 15, 20X, 30R, 580X, 601, 611, ACE, ACETrain, Route 6","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040061",1598000.0,"Oct 31, 2012","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40592505",,"Oct 11, 2012","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40592505",720000.0,https://www.redfin.com/CA/Livermore/2042-Mars-Rd-94550/home/1314290,,"Tile, Vinyl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2009 Helsinki Way,Livermore,CA,94550,1295000,3.0,2.0,SUNSET EAST,1493.0,8065.0,1972.0,4.0,867.0,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Livermore/2009-Helsinki-Way-94550/home/880417,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040320,N,Y,37.6617235,-121.7690755,,2.0,,"Ceiling Fan(s), Central Air","Forced Air, Natural Gas",All Public Utilities,,8.0,7.0,7.0,2.5,867.0,1330552.0,9156.0,60.0,Bikeable,40.0,Car-dependent,,,Minimal,Extreme,Major,Minimal,"Places3 groceries, 14 restaurants, 11 parksTransit10R, 11, 14, 15, 20X, 30R, 580X, 601, 611, ACE, ACETrain, Route 6","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040320",1295000.0,"Oct 4, 2017","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40798526",,"Sep 27, 2017","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40798526",749888.0,https://www.redfin.com/CA/Livermore/2009-Helsinki-Way-94550/home/880417,,Laminate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1516 College Ave,Livermore,CA,94550,1175000,3.0,3.0,OLD SOUTH SIDE,1846.0,8442.0,1952.0,4.0,637.0,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Livermore/1516-College-Ave-94550/home/1514367,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040314,N,Y,37.6751205,-121.7750173,,2.0,,Central Air,Forced Air,,,,,7.0,2.5,637.0,1192793.0,8308.0,78.0,Very bikeable,83.0,Very walkable,,,Minimal,Minor,Moderate,Minimal,"Places2 groceries, 20 restaurants, 4 parksTransit10R, 11, 14, 15, 20X, 30R, 580X, ACE, ACETrain, Route 6","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040314",1175000.0,,,,,,,https://www.redfin.com/CA/Livermore/1516-College-Ave-94550/home/1514367,,"Hardwood, Linoleum, Carpet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3145 Caldeira Dr,Livermore,CA,94551,2129950,5.0,4.0,VINSANTO,3687.0,11138.0,2005.0,4.0,578.0,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Livermore/3145-Caldeira-Dr-94550/home/2112268,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040233,N,Y,37.6647291,-121.7547865,,3.0,,Zoned,Zoned,,,8.0,7.0,7.0,2.5,578.0,2213927.0,15060.0,61.0,Bikeable,14.0,Car-dependent,,,Minimal,Severe,Major,Minimal,"Places3 groceries, 14 restaurants, 9 parksTransit10R, 11, 14, 15, 20X, 30R, 580X, ACE, ACETrain, Route 6","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040233",2129950.0,,,,,,,https://www.redfin.com/CA/Livermore/3145-Caldeira-Dr-94550/home/2112268,,Carpet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,4482 Guilford Pl,Livermore,CA,94550,1795000,5.0,3.0,ESTATE COLLECT.,3261.0,14666.0,1991.0,6.0,550.0,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Livermore/4482-Guilford-Pl-94550/home/911994,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040127,N,Y,37.6745927,-121.7408519,,3.0,,Zoned,Zoned,"All Public Utilities, Cable Available",,7.0,5.0,7.0,2.5,550.0,1934078.0,12692.0,60.0,Bikeable,29.0,Car-dependent,,,Minimal,Major,Major,Minimal,"Places2 groceries, 20 restaurants, 8 parksTransit10R, 11, 14, 15, 20X, 30R, 580X, ACE, ACETrain, Route 6","Sep 25, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040127",1795000.0,"Jul 5, 2007","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40268102",,"Jul 4, 2007","ContingentbridgeMLS, Bay East AOR, or Contra Costa AOR #40268102",,https://www.redfin.com/CA/Livermore/4482-Guilford-Pl-94550/home/911994,,"Tile, Carpet, Wood",,,,,"Jun 29, 2007","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40268102",1099950.0,"May 18, 2007","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #40268102",1124950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
